epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.201,1.25808,1.57621,1.14327,0.86526,0.8205,0.87108,0.54177,1.27306,1.08576,1.19283,0.000665158,0.000665158,0.000665158
2,335.665,1.28247,0.89877,1.1617,0.93026,0.83858,0.89902,0.56752,1.28612,0.84209,1.18996,0.00130545,0.00130545,0.00130545
3,479.778,1.28221,0.80923,1.16555,0.93702,0.87563,0.9323,0.59979,1.22954,0.77659,1.15776,0.00191935,0.00191935,0.00191935
4,620.025,1.25808,0.75991,1.15281,0.93865,0.87426,0.92764,0.60866,1.23275,0.70795,1.17398,0.0018812,0.0018812,0.0018812
5,762.369,1.21697,0.70916,1.13408,0.95972,0.87926,0.93535,0.62281,1.20867,0.63418,1.1491,0.0018416,0.0018416,0.0018416
6,903.673,1.21201,0.68815,1.1235,0.93817,0.83827,0.91187,0.59471,1.23386,0.73365,1.14798,0.001802,0.001802,0.001802
7,1045.83,1.21119,0.66064,1.12138,0.9537,0.91023,0.94789,0.64226,1.16525,0.58022,1.11165,0.0017624,0.0017624,0.0017624
8,1187.67,1.18782,0.64206,1.11554,0.94155,0.90934,0.94434,0.62825,1.17898,0.60625,1.11469,0.0017228,0.0017228,0.0017228
9,1326.84,1.17759,0.63498,1.10708,0.96449,0.91572,0.95082,0.64809,1.14047,0.56976,1.10313,0.0016832,0.0016832,0.0016832
10,1467.48,1.1655,0.6094,1.09799,0.97255,0.91116,0.94927,0.64205,1.16746,0.55822,1.1109,0.0016436,0.0016436,0.0016436
11,1609.87,1.16134,0.6111,1.09483,0.97517,0.91256,0.95465,0.64526,1.15319,0.55793,1.11023,0.001604,0.001604,0.001604
12,1750.67,1.15436,0.6013,1.08944,0.96753,0.92073,0.95775,0.64997,1.1631,0.52968,1.09594,0.0015644,0.0015644,0.0015644
13,1889.67,1.15328,0.58986,1.09025,0.97168,0.92215,0.96185,0.66037,1.13021,0.50537,1.08839,0.0015248,0.0015248,0.0015248
14,2028.39,1.1452,0.57834,1.08703,0.98196,0.92073,0.95671,0.66058,1.13642,0.50707,1.09416,0.0014852,0.0014852,0.0014852
15,2166.41,1.12802,0.56778,1.07763,0.97781,0.918,0.9576,0.66271,1.13305,0.50121,1.08294,0.0014456,0.0014456,0.0014456
16,2305.22,1.134,0.57258,1.0823,0.97319,0.92611,0.9592,0.65506,1.15985,0.51507,1.09944,0.001406,0.001406,0.001406
17,2451.03,1.12634,0.56005,1.07933,0.97274,0.92672,0.96023,0.65719,1.15794,0.4992,1.09529,0.0013664,0.0013664,0.0013664
18,2595.83,1.11311,0.54486,1.07229,0.96574,0.93753,0.96367,0.67153,1.12585,0.48562,1.07547,0.0013268,0.0013268,0.0013268
19,2738.86,1.11153,0.54124,1.07192,0.98041,0.93477,0.96327,0.67513,1.1069,0.4861,1.07075,0.0012872,0.0012872,0.0012872
20,2881.38,1.10785,0.53355,1.0664,0.98019,0.92402,0.96347,0.67616,1.1295,0.48732,1.07605,0.0012476,0.0012476,0.0012476
21,3022.54,1.10658,0.53054,1.06511,0.96746,0.93448,0.96541,0.67943,1.10971,0.47443,1.07394,0.001208,0.001208,0.001208
22,3165.12,1.10141,0.52633,1.06656,0.97615,0.93576,0.9653,0.67896,1.103,0.46983,1.06865,0.0011684,0.0011684,0.0011684
23,3305.5,1.09844,0.52178,1.06336,0.97905,0.93257,0.96583,0.68017,1.09453,0.45467,1.06423,0.0011288,0.0011288,0.0011288
24,3445.27,1.10162,0.51616,1.06274,0.98652,0.93713,0.96959,0.68893,1.0909,0.46704,1.06726,0.0010892,0.0010892,0.0010892
25,3587.31,1.07809,0.51344,1.05677,0.98963,0.93759,0.96976,0.68776,1.0889,0.44924,1.06646,0.0010496,0.0010496,0.0010496
26,3726.48,1.08109,0.50431,1.05536,0.98314,0.93759,0.96719,0.68205,1.09672,0.4453,1.06144,0.00101,0.00101,0.00101
27,3865.83,1.08204,0.50355,1.05409,0.98048,0.93832,0.96833,0.68901,1.07794,0.44918,1.0599,0.0009704,0.0009704,0.0009704
28,4009.54,1.07123,0.50016,1.05026,0.98369,0.9344,0.96953,0.68916,1.07725,0.44162,1.05223,0.0009308,0.0009308,0.0009308
29,4156.98,1.07381,0.49787,1.04748,0.98267,0.93941,0.96934,0.69234,1.08109,0.43896,1.05533,0.0008912,0.0008912,0.0008912
30,4301.71,1.06375,0.48891,1.04789,0.98757,0.94081,0.97159,0.69537,1.06402,0.4319,1.04714,0.0008516,0.0008516,0.0008516
31,4447,1.06052,0.48311,1.04769,0.98891,0.93303,0.96824,0.69334,1.08353,0.42967,1.05181,0.000812,0.000812,0.000812
32,4591.08,1.0525,0.48451,1.03752,0.981,0.94214,0.96948,0.69452,1.07949,0.42745,1.04524,0.0007724,0.0007724,0.0007724
33,4734.22,1.05146,0.4756,1.03998,0.97869,0.94176,0.96789,0.68963,1.0702,0.4241,1.04826,0.0007328,0.0007328,0.0007328
34,4879.31,1.05412,0.47545,1.04238,0.98522,0.94148,0.97127,0.69916,1.07319,0.41502,1.04904,0.0006932,0.0006932,0.0006932
35,5023.75,1.046,0.47362,1.03886,0.97855,0.94761,0.97285,0.70042,1.06034,0.41509,1.04205,0.0006536,0.0006536,0.0006536
36,5167.54,1.03831,0.46337,1.03437,0.98588,0.94442,0.97385,0.7054,1.05532,0.40672,1.04156,0.000614,0.000614,0.000614
37,5311.8,1.0281,0.45671,1.02688,0.98225,0.9508,0.97087,0.70295,1.05551,0.40789,1.03683,0.0005744,0.0005744,0.0005744
38,5458.09,1.03595,0.45882,1.03434,0.98572,0.94372,0.97296,0.70777,1.06149,0.40802,1.03878,0.0005348,0.0005348,0.0005348
39,5603.25,1.03498,0.45005,1.03511,0.98682,0.94579,0.97464,0.70124,1.06054,0.40573,1.04048,0.0004952,0.0004952,0.0004952
